iter	RMSE
0	1.926222855
1	1.91137132
2	1.897443241
3	1.884065446
4	1.871406524
5	1.859280642
6	1.847790255
7	1.836911659
8	1.826665444
9	1.816933699
10	1.807703729
11	1.798860763
12	1.790408245
13	1.782575887
14	1.77512987
15	1.768126676
16	1.761461542
17	1.754924851
18	1.748766857
19	1.742780018
20	1.737374166
21	1.731955359
22	1.726945377
23	1.722106846
24	1.717508598
25	1.712908223
26	1.708681025
27	1.70456306
28	1.700723529
29	1.69713353
30	1.693725321
31	1.690674573
32	1.687623738
33	1.684660142
34	1.681911192
35	1.679036032
36	1.676498654
37	1.674016351
38	1.671713468
39	1.669464384
40	1.667473284
41	1.66551311
42	1.663459907
43	1.661517996
44	1.659712378
45	1.657739434
46	1.656106843
47	1.654432822
48	1.653028463
49	1.651735897
50	1.650213402
51	1.648847255
52	1.647356888
53	1.646242366
54	1.645092566
55	1.643884677
56	1.642707792
57	1.64137874
58	1.640267119
59	1.63939448
60	1.638299454
61	1.637416072
62	1.636335413
63	1.635385402
64	1.634475065
65	1.633853018
66	1.633199853
67	1.632326409
68	1.631537832
69	1.630689186
70	1.629846692
71	1.629243408
72	1.628511566
73	1.627797193
74	1.627112636
75	1.626506278
76	1.625940273
77	1.625289642
78	1.624699325
79	1.624187172
80	1.623618939
81	1.623036811
82	1.622447858
83	1.621901565
84	1.621454484
85	1.620777348
86	1.620369907
87	1.61997526
88	1.619385293
89	1.618802547
90	1.618343282
91	1.617969189
92	1.617602563
93	1.61724995
94	1.616884942
95	1.616447579
96	1.616071304
97	1.615652692
98	1.615302407
99	1.615058203
