iter	Passed	Remaining
0	1507	149212
1	2716	133101
2	3887	125707
3	4980	119524
4	6044	114846
5	7134	111772
6	8258	109723
7	9318	107162
8	10509	106258
9	11651	104864
10	12709	102831
11	13864	101673
12	15004	100414
13	16185	99422
14	17527	99323
15	18938	99428
16	20172	98488
17	21429	97623
18	22515	95986
19	23722	94888
20	25477	95845
21	26662	94531
22	27701	92738
23	28826	91284
24	30103	90309
25	31429	89452
26	32555	88021
27	33761	86814
28	34862	85352
29	36048	84112
30	37115	82612
31	38396	81593
32	39635	80471
33	40724	79053
34	41864	77747
35	43286	76953
36	44494	75760
37	45669	74512
38	46912	73375
39	48070	72106
40	49320	70973
41	50537	69789
42	51755	68605
43	52992	67445
44	54233	66285
45	55457	65102
46	56646	63877
47	57822	62641
48	58978	61385
49	60327	60327
50	61521	59108
51	62741	57915
52	64042	56792
53	65324	55646
54	66541	54442
55	67780	53255
56	69127	52148
57	70228	50855
58	71382	49604
59	72581	48387
60	73781	47171
61	75005	45970
62	76189	44746
63	77420	43548
64	78502	42270
65	79728	41072
66	81035	39913
67	82395	38774
68	83636	37575
69	84670	36287
70	85807	35048
71	86994	33831
72	88194	32620
73	89551	31463
74	90599	30199
75	91736	28969
76	92761	27707
77	93809	26458
78	94911	25229
79	96168	24042
80	97429	22853
81	98699	21665
82	99849	20451
83	100948	19228
84	102145	18025
85	103276	16812
86	104351	15592
87	105447	14379
88	106591	13174
89	107762	11973
90	108863	10766
91	110161	9579
92	111343	8380
93	112395	7174
94	113498	5973
95	114644	4776
96	115765	3580
97	116884	2385
98	118089	1192
99	119288	0
