iter	Passed	Remaining
0	645	128548
1	1160	114847
2	1700	111674
3	2209	108272
4	2741	106928
5	3258	105354
6	3728	102804
7	4205	100920
8	4670	99120
9	5196	98737
10	5814	99911
11	6482	101551
12	7124	102489
13	7933	105405
14	8552	105480
15	9094	104586
16	9729	104738
17	10398	105139
18	10907	103909
19	11495	103460
20	12075	102927
21	12641	102279
22	13238	101878
23	13800	101203
24	14283	99983
25	14870	99520
26	15363	98442
27	15920	97796
28	16381	96592
29	16822	95325
30	17321	94430
31	17830	93609
32	18490	93570
33	19003	92783
34	19517	92013
35	20018	91196
36	20529	90441
37	21010	89571
38	21553	88977
39	22057	88231
40	22511	87300
41	22959	86371
42	23478	85724
43	23995	85074
44	24497	84380
45	24953	83541
46	25456	82869
47	26133	82755
48	26649	82124
49	27172	81518
50	27664	80823
51	28185	80221
52	28686	79564
53	29160	78842
54	29589	78009
55	30114	77436
56	30580	76718
57	31057	76038
58	31590	75495
59	32085	74866
60	32575	74230
61	33076	73622
62	33558	72977
63	34038	72332
64	34536	71729
65	35065	71194
66	35523	70516
67	36017	69917
68	36601	69488
69	37195	69078
70	37704	68505
71	38152	67826
72	38577	67114
73	39070	66526
74	39598	65997
75	40033	65318
76	40470	64647
77	41155	64371
78	41652	63796
79	42125	63188
80	42558	62524
81	43017	61903
82	43441	61236
83	43924	60657
84	44403	60075
85	44871	59481
86	45523	59127
87	45951	58484
88	46446	57928
89	46950	57383
90	47453	56840
91	47872	56197
92	48396	55681
93	48902	55145
94	49364	54561
95	49839	53992
96	50308	53420
97	50773	52846
98	51274	52309
99	51750	51750
100	52256	51221
101	52756	50688
102	53299	50194
103	53765	49630
104	54271	49102
105	54790	48587
106	55302	48066
107	55879	47600
108	56372	47063
109	56833	46500
110	57375	46004
111	57893	45487
112	58318	44900
113	58786	44347
114	59307	43836
115	59781	43290
116	60299	42776
117	60833	42274
118	61355	41763
119	61885	41256
120	62371	40721
121	62990	40272
122	63521	39765
123	64025	39241
124	64538	38723
125	65043	38200
126	65574	37692
127	66072	37165
128	66556	36632
129	67040	36098
130	67585	35598
131	68200	35133
132	68771	34644
133	69279	34122
134	69801	33608
135	70318	33090
136	70812	32563
137	71316	32040
138	71835	31524
139	72358	31010
140	72835	30477
141	73373	29969
142	73851	29437
143	74323	28903
144	74838	28387
145	75334	27863
146	75880	27358
147	76406	26845
148	77000	26355
149	77496	25832
150	78057	25329
151	78527	24798
152	79091	24295
153	79597	23775
154	80069	23246
155	80548	22718
156	81035	22194
157	81496	21663
158	82016	21148
159	82482	20620
160	83039	20115
161	83559	19600
162	84069	19083
163	84564	18562
164	85067	18044
165	85538	17519
166	86008	16995
167	86531	16482
168	86985	15955
169	87503	15441
170	88030	14929
171	88535	14412
172	89053	13898
173	89622	13391
174	90153	12879
175	90701	12368
176	91225	11854
177	91755	11340
178	92240	10821
179	92754	10306
180	93225	9786
181	93728	9269
182	94211	8751
183	94687	8233
184	95179	7717
185	95666	7200
186	96177	6686
187	96742	6175
188	97294	5662
189	97794	5147
190	98280	4630
191	98836	4118
192	99325	3602
193	99818	3087
194	100331	2572
195	100806	2057
196	101350	1543
197	101867	1028
198	102299	514
199	102730	0
